# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 100","dive: 5.0, 0.30, 30.00, 500.00"]}

led: 25, 25, 100
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:36, 100.54, -0.08
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:36, 100.54, -0.08
EX20, 00:02:36, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08
EX20, 00:02:37, 100.55, -0.08

EX20, 00:02:37, 100.54, -0.08
EX20, 00:02:37, 100.54, -0.08
EX20, 00:02:38, 100.54, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:38, 100.54, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:38, 100.55, -0.08
EX20, 00:02:39, 100.55, -0.08
EX20, 00:02:39, 100.55, -0.08
EX20, 00:02:39, 100.55, -0.08
EX20, 00:02:39, 100.54, -0.08
EX20, 00:02:39, 100.54, -0.08
EX20, 00:02:39, 100.54, -0.08
EX20, 00:02:39, 100.54, -0.08
EX20, 00:02:39, 100.54, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:40, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.53, -0.08
EX20, 00:02:41, 100.54, -0.08

EX20, 00:02:41, 100.54, -0.08
EX20, 00:02:42, 100.54, -0.08
EX20, 00:02:42, 100.55, -0.08
EX20, 00:02:42, 100.54, -0.08
EX20, 00:02:42, 100.54, -0.08
EX20, 00:02:42, 100.54, -0.08
EX20, 00:02:42, 100.54, -0.08
EX20, 00:02:42, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:43, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.54, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:44, 100.55, -0.08
EX20, 00:02:45, 100.54, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:45, 100.55, -0.08
EX20, 00:02:46, 100.55, -0.08

EX20, 00:02:46, 100.55, -0.08
EX20, 00:02:46, 100.54, -0.08
EX20, 00:02:46, 100.58, -0.07
EX20, 00:02:46, 100.57, -0.07
EX20, 00:02:46, 100.57, -0.07
EX20, 00:02:46, 100.60, -0.07
EX20, 00:02:46, 100.65, -0.07
EX20, 00:02:47, 100.69, -0.06
EX20, 00:02:47, 100.69, -0.06
EX20, 00:02:47, 100.69, -0.06
EX20, 00:02:47, 100.64, -0.07
EX20, 00:02:47, 100.62, -0.07
EX20, 00:02:47, 100.60, -0.07
EX20, 00:02:47, 100.58, -0.07
EX20, 00:02:47, 100.57, -0.08
EX20, 00:02:48, 100.56, -0.08
EX20, 00:02:48, 100.56, -0.08
EX20, 00:02:48, 100.62, -0.07
EX20, 00:02:48, 100.59, -0.07
EX20, 00:02:48, 100.57, -0.07
EX20, 00:02:48, 100.57, -0.07
EX20, 00:02:48, 100.58, -0.07
EX20, 00:02:48, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:49, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.59, -0.07

EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:50, 100.58, -0.07
EX20, 00:02:51, 100.58, -0.07
EX20, 00:02:51, 100.58, -0.07
EX20, 00:02:51, 100.59, -0.07
EX20, 00:02:51, 100.59, -0.07
EX20, 00:02:51, 100.58, -0.07
EX20, 00:02:51, 100.59, -0.07
EX20, 00:02:51, 100.58, -0.07
EX20, 00:02:51, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:52, 100.59, -0.07
EX20, 00:02:53, 100.58, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:53, 100.59, -0.07
EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:54, 100.59, -0.07

EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:54, 100.58, -0.07
EX20, 00:02:54, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.58, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:55, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:56, 100.59, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.58, -0.07
EX20, 00:02:57, 100.59, -0.07
EX20, 00:02:57, 100.58, -0.07
EX20, 00:02:58, 100.59, -0.07
EX20, 00:02:58, 100.59, -0.07
EX20, 00:02:58, 100.58, -0.07
EX20, 00:02:58, 100.59, -0.07
EX20, 00:02:58, 100.58, -0.07

EX20, 00:02:58, 100.58, -0.07
EX20, 00:02:58, 100.59, -0.07
EX20, 00:02:58, 100.58, -0.07
EX20, 00:02:59, 100.59, -0.07
EX20, 00:02:59, 100.59, -0.07
EX20, 00:02:59, 100.58, -0.07
EX20, 00:02:59, 100.58, -0.07
EX20, 00:02:59, 100.58, -0.07
EX20, 00:02:59, 100.59, -0.07
EX20, 00:02:59, 100.58, -0.07
EX20, 00:02:59, 100.58, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:00, 100.59, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:00, 100.59, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:00, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:01, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07

EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:02, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:03, 100.58, -0.07
EX20, 00:03:04, 100.58, -0.07
EX20, 00:03:04, 100.58, -0.07
EX20, 00:03:04, 100.58, -0.07
EX20, 00:03:04, 100.58, -0.07
EX20, 00:03:04, 100.59, -0.07
EX20, 00:03:04, 100.58, -0.07
EX20, 00:03:04, 100.64, -0.07
EX20, 00:03:04, 100.71, -0.06
EX20, 00:03:05, 100.79, -0.05
EX20, 00:03:05, 100.90, -0.04
EX20, 00:03:05, 101.02, -0.03
EX20, 00:03:05, 101.14, -0.02
EX20, 00:03:05, 101.28, -0.00
EX20, 00:03:05, 101.41, 0.01
EX20, 00:03:05, 101.55, 0.03
EX20, 00:03:06, 101.70, 0.04
EX20, 00:03:06, 101.85, 0.06
EX20, 00:03:06, 102.01, 0.07
EX20, 00:03:06, 102.18, 0.09
EX20, 00:03:06, 102.35, 0.11
EX20, 00:03:06, 102.53, 0.13
EX20, 00:03:06, 102.72, 0.14
EX20, 00:03:06, 102.91, 0.16

EX20, 00:03:07, 103.12, 0.19
EX20, 00:03:07, 103.32, 0.21
EX20, 00:03:07, 103.54, 0.23
EX20, 00:03:07, 103.75, 0.25
EX20, 00:03:07, 103.97, 0.27
EX20, 00:03:07, 104.19, 0.30
EX20, 00:03:07, 104.42, 0.32
EX20, 00:03:07, 104.64, 0.34
EX20, 00:03:08, 104.87, 0.37
EX20, 00:03:08, 105.10, 0.39
EX20, 00:03:08, 105.33, 0.41
EX20, 00:03:08, 105.56, 0.44
EX20, 00:03:08, 105.80, 0.46
EX20, 00:03:08, 106.04, 0.49
EX20, 00:03:08, 106.29, 0.51
EX20, 00:03:08, 106.54, 0.54
EX20, 00:03:09, 106.79, 0.56
EX20, 00:03:09, 107.04, 0.59
EX20, 00:03:09, 107.30, 0.61
EX20, 00:03:09, 107.56, 0.64
EX20, 00:03:09, 107.82, 0.67
EX20, 00:03:09, 108.08, 0.69
EX20, 00:03:09, 108.35, 0.72
EX20, 00:03:09, 108.62, 0.75
EX20, 00:03:10, 108.89, 0.78
EX20, 00:03:10, 109.16, 0.80
EX20, 00:03:10, 109.43, 0.83
EX20, 00:03:10, 109.70, 0.86
EX20, 00:03:10, 109.98, 0.89
EX20, 00:03:10, 110.26, 0.92
EX20, 00:03:10, 110.54, 0.94
EX20, 00:03:10, 110.82, 0.97
EX20, 00:03:11, 111.10, 1.00
EX20, 00:03:11, 111.39, 1.03

EX20, 00:03:11, 111.65, 1.06
EX20, 00:03:11, 111.94, 1.09
EX20, 00:03:11, 112.23, 1.12
EX20, 00:03:11, 112.52, 1.15
EX20, 00:03:11, 112.82, 1.18
EX20, 00:03:11, 113.11, 1.21
EX20, 00:03:12, 113.39, 1.24
EX20, 00:03:12, 113.69, 1.27
EX20, 00:03:12, 113.98, 1.30
EX20, 00:03:12, 114.27, 1.33
EX20, 00:03:12, 114.56, 1.36
EX20, 00:03:12, 114.86, 1.39
EX20, 00:03:12, 115.15, 1.42
EX20, 00:03:12, 115.44, 1.45
EX20, 00:03:13, 115.73, 1.48
EX20, 00:03:13, 116.03, 1.51
EX20, 00:03:13, 116.33, 1.54
EX20, 00:03:13, 116.62, 1.57
EX20, 00:03:13, 116.92, 1.60
EX20, 00:03:13, 117.21, 1.63
EX20, 00:03:13, 117.51, 1.66
EX20, 00:03:13, 117.81, 1.69
EX20, 00:03:14, 118.11, 1.72
EX20, 00:03:14, 118.40, 1.75
EX20, 00:03:14, 118.69, 1.78
EX20, 00:03:14, 118.99, 1.81
EX20, 00:03:14, 119.28, 1.84
EX20, 00:03:14, 119.57, 1.87
EX20, 00:03:14, 119.86, 1.90
EX20, 00:03:14, 120.15, 1.93
EX20, 00:03:15, 120.44, 1.96
EX20, 00:03:15, 120.73, 1.99
EX20, 00:03:15, 121.02, 2.02
EX20, 00:03:15, 121.30, 2.05

EX20, 00:03:15, 121.57, 2.07
EX20, 00:03:15, 121.85, 2.10
EX20, 00:03:15, 122.14, 2.13
EX20, 00:03:16, 122.42, 2.16
EX20, 00:03:16, 122.70, 2.19
EX20, 00:03:16, 122.98, 2.22
EX20, 00:03:16, 123.26, 2.25
EX20, 00:03:16, 123.54, 2.27
EX20, 00:03:16, 123.82, 2.30
EX20, 00:03:16, 124.10, 2.33
EX20, 00:03:16, 124.38, 2.36
EX20, 00:03:17, 124.66, 2.39
EX20, 00:03:17, 124.94, 2.42
EX20, 00:03:17, 125.22, 2.45
EX20, 00:03:17, 125.51, 2.48
EX20, 00:03:17, 125.79, 2.50
EX20, 00:03:17, 126.07, 2.53
EX20, 00:03:17, 126.36, 2.56
EX20, 00:03:17, 126.64, 2.59
EX20, 00:03:18, 126.93, 2.62
EX20, 00:03:18, 127.21, 2.65
EX20, 00:03:18, 127.50, 2.68
EX20, 00:03:18, 127.78, 2.71
EX20, 00:03:18, 128.07, 2.74
EX20, 00:03:18, 128.34, 2.77
EX20, 00:03:18, 128.63, 2.80
EX20, 00:03:18, 128.91, 2.82
EX20, 00:03:19, 129.18, 2.85
EX20, 00:03:19, 129.47, 2.88
EX20, 00:03:19, 129.74, 2.91
EX20, 00:03:19, 130.02, 2.94
EX20, 00:03:19, 130.29, 2.97
EX20, 00:03:19, 130.57, 2.99
EX20, 00:03:19, 130.85, 3.02

EX20, 00:03:19, 131.11, 3.05
EX20, 00:03:20, 131.39, 3.08
EX20, 00:03:20, 131.67, 3.11
EX20, 00:03:20, 131.95, 3.13
EX20, 00:03:20, 132.23, 3.16
EX20, 00:03:20, 132.51, 3.19
EX20, 00:03:20, 132.79, 3.22
EX20, 00:03:20, 133.07, 3.25
EX20, 00:03:20, 133.35, 3.28
EX20, 00:03:21, 133.63, 3.31
EX20, 00:03:21, 133.91, 3.33
EX20, 00:03:21, 134.12, 3.36
EX20, 00:03:21, 133.93, 3.34
EX20, 00:03:21, 133.86, 3.33
EX20, 00:03:21, 133.82, 3.33
EX20, 00:03:21, 133.81, 3.32
EX20, 00:03:21, 133.81, 3.32
EX20, 00:03:22, 133.83, 3.33
EX20, 00:03:22, 133.87, 3.33
EX20, 00:03:22, 133.93, 3.34
EX20, 00:03:22, 134.01, 3.35
EX20, 00:03:22, 134.12, 3.36
EX20, 00:03:22, 134.23, 3.37
EX20, 00:03:22, 134.35, 3.38
EX20, 00:03:22, 134.29, 3.37
EX20, 00:03:23, 134.28, 3.37
EX20, 00:03:23, 134.29, 3.37
EX20, 00:03:23, 134.31, 3.38
EX20, 00:03:23, 134.30, 3.38
EX20, 00:03:23, 134.33, 3.38
EX20, 00:03:23, 134.30, 3.38
EX20, 00:03:23, 134.30, 3.37
EX20, 00:03:23, 134.31, 3.38
EX20, 00:03:24, 134.31, 3.38

EX20, 00:03:24, 134.32, 3.38
EX20, 00:03:24, 134.32, 3.38
EX20, 00:03:24, 134.33, 3.38
EX20, 00:03:24, 134.34, 3.38
EX20, 00:03:24, 134.33, 3.38
EX20, 00:03:24, 134.34, 3.38
EX20, 00:03:24, 134.34, 3.38
EX20, 00:03:25, 134.34, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:25, 134.35, 3.38
EX20, 00:03:26, 134.34, 3.38
EX20, 00:03:26, 134.35, 3.38
EX20, 00:03:26, 134.35, 3.38
EX20, 00:03:26, 134.34, 3.38
EX20, 00:03:26, 134.35, 3.38
EX20, 00:03:26, 134.35, 3.38
EX20, 00:03:26, 134.34, 3.38
EX20, 00:03:27, 134.34, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:27, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38

EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:28, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:29, 134.35, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:30, 134.34, 3.38
EX20, 00:03:30, 134.34, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:30, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:31, 134.35, 3.38
EX20, 00:03:32, 134.35, 3.38
EX20, 00:03:32, 134.35, 3.38
EX20, 00:03:32, 134.34, 3.38
EX20, 00:03:32, 134.35, 3.38
EX20, 00:03:32, 134.34, 3.38
EX20, 00:03:32, 134.35, 3.38

EX20, 00:03:32, 134.35, 3.38
EX20, 00:03:32, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.35, 3.38
EX20, 00:03:33, 134.34, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:34, 134.34, 3.38
EX20, 00:03:34, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:35, 134.35, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:36, 134.34, 3.38
EX20, 00:03:36, 134.35, 3.38
EX20, 00:03:37, 134.34, 3.38

EX20, 00:03:37, 134.34, 3.38
EX20, 00:03:37, 134.35, 3.38
EX20, 00:03:37, 134.35, 3.38
EX20, 00:03:37, 134.34, 3.38
EX20, 00:03:37, 134.35, 3.38
EX20, 00:03:37, 134.35, 3.38
EX20, 00:03:37, 134.34, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.35, 3.38
EX20, 00:03:38, 134.34, 3.38
EX20, 00:03:38, 134.34, 3.38
EX20, 00:03:39, 134.35, 3.38
EX20, 00:03:39, 134.35, 3.38
EX20, 00:03:39, 134.34, 3.38
EX20, 00:03:39, 134.34, 3.38
EX20, 00:03:39, 134.35, 3.38
EX20, 00:03:39, 134.35, 3.38
EX20, 00:03:39, 134.35, 3.38
EX20, 00:03:39, 134.34, 3.38
EX20, 00:03:40, 134.34, 3.38
EX20, 00:03:40, 134.35, 3.38
EX20, 00:03:40, 134.35, 3.38
EX20, 00:03:40, 134.35, 3.38
EX20, 00:03:40, 134.34, 3.38
EX20, 00:03:40, 134.35, 3.38
EX20, 00:03:40, 134.34, 3.38
EX20, 00:03:40, 134.34, 3.38
EX20, 00:03:41, 134.34, 3.38
EX20, 00:03:41, 134.35, 3.38
EX20, 00:03:41, 134.34, 3.38

EX20, 00:03:41, 134.34, 3.38
EX20, 00:03:41, 134.34, 3.38
EX20, 00:03:41, 134.35, 3.38
EX20, 00:03:41, 134.34, 3.38
EX20, 00:03:41, 134.34, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:42, 134.35, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:42, 134.35, 3.38
EX20, 00:03:42, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:43, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.35, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:44, 134.34, 3.38
EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:45, 134.35, 3.38
EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:45, 134.35, 3.38

EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:45, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:46, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.35, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:47, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38
EX20, 00:03:49, 134.34, 3.38

EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:50, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:51, 134.34, 3.38
EX20, 00:03:52, 134.34, 3.38
EX20, 00:03:52, 134.34, 3.38
