# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2.0, 0.30, 30.00, 400.00"]}

dive: 2.0, 0.30, 30.00, 400.00
EX20, 00:03:47, 134.23, 3.37
EX20, 00:03:47, 134.22, 3.37
EX20, 00:03:47, 134.23, 3.37
EX20, 00:03:47, 134.23, 3.37
EX20, 00:03:48, 134.25, 3.37
EX20, 00:03:48, 134.29, 3.37
EX20, 00:03:48, 134.34, 3.38
EX20, 00:03:48, 134.35, 3.38
EX20, 00:03:48, 134.36, 3.38
EX20, 00:03:48, 134.38, 3.38
EX20, 00:03:48, 134.38, 3.38

EX20, 00:03:49, 134.38, 3.38
EX20, 00:03:49, 134.38, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:49, 134.37, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.38, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.37, 3.38
EX20, 00:03:50, 134.36, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.37, 3.38
EX20, 00:03:51, 134.38, 3.38
EX20, 00:03:51, 134.38, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:52, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38

EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:53, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:54, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:55, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:56, 134.37, 3.38
EX20, 00:03:57, 134.37, 3.38
EX20, 00:03:57, 134.37, 3.38
EX20, 00:03:57, 134.37, 3.38
EX20, 00:03:57, 134.38, 3.38

EX20, 00:03:57, 134.37, 3.38
EX20, 00:03:57, 134.38, 3.38
EX20, 00:03:57, 134.38, 3.38
EX20, 00:03:57, 134.38, 3.38
EX20, 00:03:58, 134.38, 3.38
EX20, 00:03:58, 134.38, 3.38
EX20, 00:03:58, 134.37, 3.38
EX20, 00:03:58, 134.38, 3.38
EX20, 00:03:58, 134.37, 3.38
EX20, 00:03:58, 134.37, 3.38
EX20, 00:03:58, 134.37, 3.38
EX20, 00:03:58, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:03:59, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.38, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:00, 134.37, 3.38
EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:01, 134.36, 3.38
EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:01, 134.37, 3.38

EX20, 00:04:01, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.37, 3.38
EX20, 00:04:02, 134.38, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:03, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:04, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:05, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38

EX20, 00:04:06, 134.36, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:06, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:07, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
EX20, 00:04:08, 134.37, 3.38
