# 
"{""kP"":""0.1""","kD:""0""","kI:""0""","density:""997""","profile:[""dive: 2",0.3,30," 500.00""","dive: 0.4, 0.3, 30.00, 500.00","dive: 2, 0.3, 30.00, 500.00","dive: 0.4, 0.3, 30.00, 500.00]}"

dive: 2,0.3,500
EX20, 00:24:39,1.59 
EX20, 00:24:40,1.6 
EX20, 00:24:40,1.6 
EX20, 00:24:40,1.6 
EX20, 00:24:40,1.61 
EX20, 00:24:40,1.61 
EX20, 00:24:40,1.62 
EX20, 00:24:40,1.62 
EX20, 00:24:40,1.62 
EX20, 00:24:41,1.63 
EX20, 00:24:41,1.63 
EX20, 00:24:41,1.63 
EX20, 00:24:41,1.64 
EX20, 00:24:41,1.64 
EX20, 00:24:41,1.64 
EX20, 00:24:41,1.64 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.65 
EX20, 00:24:42,1.66 
EX20, 00:24:43,1.66 
EX20, 00:24:43,1.66 
EX20, 00:24:43,1.66 
EX20, 00:24:43,1.66 
 ,,
EX20, 00:24:43,1.66 
EX20, 00:24:43,1.66 
EX20, 00:24:43,1.65 
EX20, 00:24:43,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.65 
EX20, 00:24:44,1.64 
EX20, 00:24:45,1.64 
EX20, 00:24:45,1.64 
EX20, 00:24:45,1.64 
EX20, 00:24:45,1.64 
EX20, 00:24:45,1.64 
EX20, 00:24:45,1.63 
EX20, 00:24:45,1.63 
EX20, 00:24:45,1.63 
EX20, 00:24:46,1.63 
EX20, 00:24:46,1.63 
EX20, 00:24:46,1.63 
EX20, 00:24:46,1.62 
EX20, 00:24:46,1.62 
EX20, 00:24:46,1.62 
EX20, 00:24:46,1.62 
EX20, 00:24:46,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
EX20, 00:24:47,1.62 
 ,,
EX20, 00:24:47,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:48,1.62 
EX20, 00:24:49,1.62 
EX20, 00:24:49,1.63 
EX20, 00:24:49,1.63 
EX20, 00:24:49,1.63 
EX20, 00:24:49,1.63 
EX20, 00:24:49,1.64 
EX20, 00:24:49,1.64 
EX20, 00:24:49,1.64 
EX20, 00:24:50,1.65 
EX20, 00:24:50,1.65 
EX20, 00:24:50,1.65 
EX20, 00:24:50,1.66 
EX20, 00:24:50,1.66 
EX20, 00:24:50,1.67 
EX20, 00:24:50,1.67 
EX20, 00:24:50,1.67 
EX20, 00:24:51,1.68 
EX20, 00:24:51,1.68 
EX20, 00:24:51,1.69 
EX20, 00:24:51,1.69 
EX20, 00:24:51,1.7 
EX20, 00:24:51,1.7 
EX20, 00:24:51,1.71 
EX20, 00:24:51,1.71 
EX20, 00:24:52,1.72 
EX20, 00:24:52,1.72 
EX20, 00:24:52,1.73 
EX20, 00:24:52,1.73 
EX20, 00:24:52,1.74 
 ,,
EX20, 00:24:52,1.74 
EX20, 00:24:52,1.75 
EX20, 00:24:52,1.75 
EX20, 00:24:53,1.75 
EX20, 00:24:53,1.76 
EX20, 00:24:53,1.76 
EX20, 00:24:53,1.77 
EX20, 00:24:53,1.77 
EX20, 00:24:53,1.78 
EX20, 00:24:53,1.78 
EX20, 00:24:53,1.79 
EX20, 00:24:54,1.79 
EX20, 00:24:54,1.79 
EX20, 00:24:54,1.8 
EX20, 00:24:54,1.8 
EX20, 00:24:54,1.8 
EX20, 00:24:54,1.81 
EX20, 00:24:54,1.81 
EX20, 00:24:54,1.81 
EX20, 00:24:55,1.82 
EX20, 00:24:55,1.82 
EX20, 00:24:55,1.82 
EX20, 00:24:55,1.82 
EX20, 00:24:55,1.83 
EX20, 00:24:55,1.83 
EX20, 00:24:55,1.83 
EX20, 00:24:55,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:56,1.83 
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.83 
 ,,
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.83 
EX20, 00:24:57,1.82 
EX20, 00:24:58,1.82 
EX20, 00:24:58,1.82 
EX20, 00:24:58,1.82 
EX20, 00:24:58,1.82 
EX20, 00:24:58,1.81 
EX20, 00:24:58,1.81 
EX20, 00:24:58,1.81 
EX20, 00:24:58,1.81 
EX20, 00:24:59,1.8 
EX20, 00:24:59,1.8 
EX20, 00:24:59,1.8 
EX20, 00:24:59,1.8 
EX20, 00:24:59,1.8 
EX20, 00:24:59,1.79 
EX20, 00:24:59,1.79 
EX20, 00:24:59,1.79 
EX20, 00:25:00,1.79 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.78 
EX20, 00:25:00,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
 ,,
EX20, 00:25:01,1.77 
EX20, 00:25:01,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.77 
EX20, 00:25:02,1.78 
EX20, 00:25:03,1.78 
EX20, 00:25:03,1.78 
EX20, 00:25:03,1.78 
EX20, 00:25:03,1.78 
EX20, 00:25:03,1.79 
EX20, 00:25:03,1.79 
EX20, 00:25:03,1.79 
EX20, 00:25:03,1.79 
EX20, 00:25:04,1.8 
EX20, 00:25:04,1.8 
EX20, 00:25:04,1.8 
EX20, 00:25:04,1.81 
EX20, 00:25:04,1.81 
EX20, 00:25:04,1.81 
EX20, 00:25:04,1.82 
EX20, 00:25:05,1.82 
EX20, 00:25:05,1.83 
EX20, 00:25:05,1.83 
EX20, 00:25:05,1.83 
EX20, 00:25:05,1.84 
EX20, 00:25:05,1.84 
EX20, 00:25:05,1.85 
EX20, 00:25:05,1.85 
EX20, 00:25:06,1.85 
EX20, 00:25:06,1.86 
EX20, 00:25:06,1.86 
 ,,
EX20, 00:25:06,1.86 
EX20, 00:25:06,1.87 
EX20, 00:25:06,1.87 
EX20, 00:25:06,1.88 
EX20, 00:25:06,1.88 
EX20, 00:25:07,1.88 
EX20, 00:25:07,1.89 
EX20, 00:25:07,1.89 
EX20, 00:25:07,1.89 
EX20, 00:25:07,1.9 
EX20, 00:25:07,1.9 
EX20, 00:25:07,1.9 
EX20, 00:25:07,1.91 
EX20, 00:25:08,1.91 
EX20, 00:25:08,1.91 
EX20, 00:25:08,1.91 
EX20, 00:25:08,1.91 
EX20, 00:25:08,1.92 
EX20, 00:25:08,1.92 
EX20, 00:25:08,1.92 
EX20, 00:25:08,1.92 
EX20, 00:25:09,1.92 
EX20, 00:25:09,1.92 
EX20, 00:25:09,1.92 
EX20, 00:25:09,1.93 
EX20, 00:25:09,1.93 
EX20, 00:25:09,1.93 
EX20, 00:25:09,1.93 
EX20, 00:25:09,1.93 
EX20, 00:25:10,1.93 
EX20, 00:25:10,1.92 
EX20, 00:25:10,1.92 
EX20, 00:25:10,1.92 
EX20, 00:25:10,1.92 
EX20, 00:25:10,1.92 
EX20, 00:25:10,1.92 
 ,,
EX20, 00:25:10,1.92 
EX20, 00:25:11,1.91 
EX20, 00:25:11,1.91 
EX20, 00:25:11,1.91 
EX20, 00:25:11,1.91 
EX20, 00:25:11,1.91 
EX20, 00:25:11,1.9 
EX20, 00:25:11,1.9 
EX20, 00:25:11,1.9 
EX20, 00:25:12,1.9 
EX20, 00:25:12,1.89 
