# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.30, 30.00, 300.00","surface"]}

dive: -2, 0.30, 30.00, 300.00
EX20, 00:01:01, 1.00, 1.56
EX20, 00:01:01, 1.00, 1.57
EX20, 00:01:02, 1.00, 1.59
EX20, 00:01:02, 1.00, 1.60
EX20, 00:01:02, 1.00, 1.61
EX20, 00:01:02, 1.00, 1.62
EX20, 00:01:02, 1.00, 1.63
EX20, 00:01:02, 1.00, 1.65
EX20, 00:01:02, 1.00, 1.66
EX20, 00:01:02, 1.00, 1.67
EX20, 00:01:03, 1.00, 1.68
EX20, 00:01:03, 1.00, 1.69
EX20, 00:01:03, 1.00, 1.71
EX20, 00:01:03, 1.00, 1.72
EX20, 00:01:03, 1.00, 1.73
EX20, 00:01:03, 1.00, 1.74
EX20, 00:01:03, 1.00, 1.75
EX20, 00:01:04, 1.00, 1.77
EX20, 00:01:04, 1.00, 1.78
EX20, 00:01:04, 1.00, 1.79
EX20, 00:01:04, 1.00, 1.80
EX20, 00:01:04, 1.00, 1.81
EX20, 00:01:04, 1.00, 1.83
EX20, 00:01:04, 1.00, 1.84
EX20, 00:01:04, 1.00, 1.85
EX20, 00:01:05, 1.00, 1.86
EX20, 00:01:05, 1.00, 1.87
EX20, 00:01:05, 1.00, 1.89
EX20, 00:01:05, 1.00, 1.90
EX20, 00:01:05, 1.00, 1.91
EX20, 00:01:05, 1.00, 1.92
EX20, 00:01:05, 1.00, 1.94
EX20, 00:01:05, 1.00, 1.95
EX20, 00:01:06, 1.00, 1.96
EX20, 00:01:06, 1.00, 1.97
EX20, 00:01:06, 1.00, 1.98
EX20, 00:01:06, 1.00, 2.00

EX20, 00:01:06, 1.00, 2.01
EX20, 00:01:06, 1.00, 2.02
EX20, 00:01:06, 1.00, 2.04
EX20, 00:01:06, 1.00, 2.05
EX20, 00:01:07, 1.00, 2.06
EX20, 00:01:07, 1.00, 2.07
EX20, 00:01:07, 1.00, 2.09
EX20, 00:01:07, 1.00, 2.10
EX20, 00:01:07, 1.00, 2.11
EX20, 00:01:07, 1.00, 2.13
EX20, 00:01:07, 1.00, 2.14
EX20, 00:01:07, 1.00, 2.15
EX20, 00:01:08, 1.00, 2.16
EX20, 00:01:08, 1.00, 2.18
EX20, 00:01:08, 1.00, 2.19
EX20, 00:01:08, 1.00, 2.20
EX20, 00:01:08, 1.00, 2.22
EX20, 00:01:08, 1.00, 2.23
EX20, 00:01:08, 1.00, 2.24
EX20, 00:01:08, 1.00, 2.26
EX20, 00:01:09, 1.00, 2.27
EX20, 00:01:09, 1.00, 2.29
EX20, 00:01:09, 1.00, 2.30
EX20, 00:01:09, 1.00, 2.31
EX20, 00:01:09, 1.00, 2.33
EX20, 00:01:09, 1.00, 2.34
EX20, 00:01:09, 1.00, 2.35
EX20, 00:01:10, 1.00, 2.37
EX20, 00:01:10, 1.00, 2.38
EX20, 00:01:10, 1.00, 2.40
EX20, 00:01:10, 1.00, 2.41
EX20, 00:01:10, 1.00, 2.43
EX20, 00:01:10, 1.00, 2.44
EX20, 00:01:10, 1.00, 2.45
EX20, 00:01:10, 1.00, 2.47
EX20, 00:01:11, 1.00, 2.48
EX20, 00:01:11, 1.00, 2.50

EX20, 00:01:11, 1.00, 2.51
EX20, 00:01:11, 1.00, 2.53
EX20, 00:01:11, 1.00, 2.54
EX20, 00:01:11, 1.00, 2.56
EX20, 00:01:11, 1.00, 2.57
EX20, 00:01:11, 1.00, 2.58
EX20, 00:01:12, 1.00, 2.60
EX20, 00:01:12, 1.00, 2.61
EX20, 00:01:12, 1.00, 2.63
EX20, 00:01:12, 1.00, 2.64
EX20, 00:01:12, 1.00, 2.66
EX20, 00:01:12, 1.00, 2.67
EX20, 00:01:12, 1.00, 2.69
EX20, 00:01:12, 1.00, 2.71
EX20, 00:01:13, 1.00, 2.72
EX20, 00:01:13, 1.00, 2.74
EX20, 00:01:13, 1.00, 2.75
EX20, 00:01:13, 1.00, 2.77
EX20, 00:01:13, 1.00, 2.78
EX20, 00:01:13, 1.00, 2.80
EX20, 00:01:13, 1.00, 2.81
EX20, 00:01:13, 1.00, 2.83
EX20, 00:01:14, 1.00, 2.84
EX20, 00:01:14, 1.00, 2.86
EX20, 00:01:14, 1.00, 2.88
EX20, 00:01:14, 1.00, 2.89
EX20, 00:01:14, 1.00, 2.91
EX20, 00:01:14, 1.00, 2.92
EX20, 00:01:14, 1.00, 2.94
EX20, 00:01:14, 1.00, 2.96
EX20, 00:01:15, 1.00, 2.97
EX20, 00:01:15, 1.00, 2.99
EX20, 00:01:15, 1.00, 3.01
EX20, 00:01:15, 1.00, 3.02
EX20, 00:01:15, 1.00, 3.04
EX20, 00:01:15, 1.00, 3.06
EX20, 00:01:15, 1.00, 3.07

EX20, 00:01:16, 1.00, 3.09
EX20, 00:01:16, 1.00, 3.11
EX20, 00:01:16, 1.00, 3.12
EX20, 00:01:16, 1.00, 3.14
EX20, 00:01:16, 1.00, 3.16
EX20, 00:01:16, 1.00, 3.17
EX20, 00:01:16, 1.00, 3.19
EX20, 00:01:16, 1.00, 3.21
EX20, 00:01:17, 1.00, 3.22
EX20, 00:01:17, 1.00, 3.24
EX20, 00:01:17, 1.00, 3.26
EX20, 00:01:17, 1.00, 3.27
EX20, 00:01:17, 1.00, 3.29
EX20, 00:01:17, 1.00, 3.31
EX20, 00:01:17, 1.00, 3.32
EX20, 00:01:17, 1.00, 3.34
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.33
EX20, 00:01:18, 1.00, 3.34
EX20, 00:01:19, 1.00, 3.35
EX20, 00:01:19, 1.00, 3.34
EX20, 00:01:19, 1.00, 3.34
EX20, 00:01:19, 1.00, 3.33
EX20, 00:01:19, 1.00, 3.33
EX20, 00:01:19, 1.00, 3.33
EX20, 00:01:19, 1.00, 3.34
EX20, 00:01:19, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34

EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:20, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:21, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:22, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:23, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:24, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34

EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:25, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
