# 
{"kP":"0.04","kD":"0","kI":"0","density":"997","profile":["surface","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","surface","led: 0, 0, 125"]}

surface
EX20, 4853, 0.00


EX20, 197706, 0.74
EX20, 198720, 0.73
EX20, 199734, 0.74
EX20, 200749, 0.74
EX20, 201763, 0.76
EX20, 202777, 0.77
EX20, 203792, 0.78
EX20, 204806, 0.78
EX20, 205820, 0.77
EX20, 206835, 0.78
EX20, 207849, 0.83
EX20, 208863, 0.90
EX20, 209879, 0.97
EX20, 210893, 1.03
EX20, 211906, 1.11
EX20, 212922, 1.17
EX20, 213936, 1.21
EX20, 214950, 1.19
EX20, 215965, 1.14
EX20, 216979, 1.07
EX20, 217993, 1.00
EX20, 219009, 0.94
EX20, 220023, 0.88
EX20, 221037, 0.83
EX20, 222052, 0.79
EX20, 223066, 0.75
EX20, 224081, 0.72
EX20, 225096, 0.70
EX20, 226110, 0.69
EX20, 227124, 0.70
EX20, 228139, 0.71
EX20, 229153, 0.73
EX20, 230167, 0.75
EX20, 231183, 0.77
EX20, 232196, 0.79
EX20, 233210, 0.81

EX20, 234251, 0.81
EX20, 235265, 0.79
EX20, 236279, 0.78
EX20, 237295, 0.75
EX20, 238309, 0.73
EX20, 239323, 0.70
EX20, 240338, 0.68
EX20, 241352, 0.67
EX20, 242366, 0.66
EX20, 243382, 0.66
EX20, 244396, 0.66
EX20, 245410, 0.68
EX20, 246425, 0.70
EX20, 247439, 0.72
EX20, 248453, 0.74
EX20, 249468, 0.76
EX20, 250482, 0.78
EX20, 251496, 0.79
EX20, 252511, 0.79
EX20, 253526, 0.76
EX20, 254540, 0.73
EX20, 255555, 0.69
EX20, 256569, 0.65
EX20, 257583, 0.61
EX20, 258599, 0.57
EX20, 259613, 0.55
EX20, 260627, 0.53
EX20, 261642, 0.52
EX20, 262656, 0.53
EX20, 263670, 0.54
EX20, 264685, 0.56
EX20, 265699, 0.59
