# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:09:42, 0.00, 1.93
EX20, 00:09:42, 0.00, 1.96
EX20, 00:09:42, -0.02, 1.98
EX20, 00:09:42, -0.02, 2.00
EX20, 00:09:42, -0.02, 2.03
EX20, 00:09:42, -0.02, 2.05
EX20, 00:09:42, -0.02, 2.07
EX20, 00:09:42, -0.02, 2.10
EX20, 00:09:43, -0.02, 2.12
EX20, 00:09:43, -0.02, 2.14
EX20, 00:09:43, -0.04, 2.16
EX20, 00:09:43, -0.04, 2.19
EX20, 00:09:43, -0.04, 2.21
EX20, 00:09:43, -0.04, 2.23
EX20, 00:09:43, -0.04, 2.26
EX20, 00:09:43, -0.04, 2.28
EX20, 00:09:44, -0.04, 2.30
EX20, 00:09:44, -0.04, 2.32
EX20, 00:09:44, -0.05, 2.35
EX20, 00:09:44, -0.05, 2.37
EX20, 00:09:44, -0.05, 2.39
EX20, 00:09:44, -0.05, 2.42
EX20, 00:09:44, -0.05, 2.44
EX20, 00:09:45, -0.05, 2.46
EX20, 00:09:45, -0.05, 2.48
EX20, 00:09:45, -0.05, 2.50
EX20, 00:09:45, -0.07, 2.53
EX20, 00:09:45, -0.07, 2.55

EX20, 00:09:45, -0.07, 2.57
EX20, 00:09:45, -0.07, 2.59
EX20, 00:09:45, -0.07, 2.61
EX20, 00:09:46, -0.07, 2.63
EX20, 00:09:46, -0.07, 2.66
EX20, 00:09:46, -0.07, 2.68
EX20, 00:09:46, -0.09, 2.70
EX20, 00:09:46, -0.09, 2.72
EX20, 00:09:46, -0.09, 2.74
EX20, 00:09:46, -0.09, 2.76
EX20, 00:09:46, -0.09, 2.78
EX20, 00:09:47, -0.09, 2.80
EX20, 00:09:47, -0.09, 2.82
EX20, 00:09:47, -0.09, 2.84
EX20, 00:09:47, -0.11, 2.86
EX20, 00:09:47, -0.11, 2.89
EX20, 00:09:47, -0.11, 2.91
EX20, 00:09:47, -0.11, 2.93
EX20, 00:09:47, -0.11, 2.95
EX20, 00:09:48, -0.11, 2.97
EX20, 00:09:48, -0.11, 2.99
EX20, 00:09:48, -0.11, 3.01
EX20, 00:09:48, -0.12, 3.03
EX20, 00:09:48, -0.12, 3.05
EX20, 00:09:48, -0.12, 3.06
EX20, 00:09:48, -0.12, 3.08
EX20, 00:09:48, -0.12, 3.10
EX20, 00:09:49, -0.12, 3.12
EX20, 00:09:49, -0.12, 3.14
EX20, 00:09:49, -0.12, 3.16
EX20, 00:09:49, -0.14, 3.18
EX20, 00:09:49, -0.14, 3.20
EX20, 00:09:49, -0.14, 3.22
EX20, 00:09:49, -0.14, 3.24
EX20, 00:09:49, -0.14, 3.25

EX20, 00:09:50, -0.14, 3.27
EX20, 00:09:50, -0.14, 3.29
EX20, 00:09:50, -0.14, 3.31
EX20, 00:09:50, -0.15, 3.33
EX20, 00:09:50, -0.15, 3.35
EX20, 00:09:50, -0.15, 3.35
EX20, 00:09:50, -0.15, 3.34
