# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:22, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:23, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36

EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:24, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:25, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:26, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:27, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36

EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:28, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:29, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:30, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:31, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36
