# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -10.0, 0.30, 30.00, 300.00","surface"]}

dive: -10.0, 0.30, 30.00, 300.00
EX20, 00:02:26, -9.91, -0.09
EX20, 00:02:26, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:27, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:28, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:29, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.09
EX20, 00:02:30, -9.91, -0.10

